Timestamp,Settlement Point Name,Hourly Average Price
2010-12-03 01:00:00,HB_HUBAVG,21.8075
2010-12-03 02:00:00,HB_BUSAVG,20.46
2010-12-03 02:00:00,HB_HUBAVG,20.46
2010-12-03 03:00:00,HB_BUSAVG,20.4825
2010-12-03 03:00:00,HB_HUBAVG,20.4825
2010-12-03 04:00:00,HB_BUSAVG,22.1675
2010-12-03 04:00:00,HB_HUBAVG,22.1675
2010-12-03 05:00:00,HB_BUSAVG,29.045
2010-12-03 05:00:00,HB_HUBAVG,29.045
2010-12-03 06:00:00,HB_BUSAVG,29.365
2010-12-03 06:00:00,HB_HUBAVG,29.349999999999998
2010-12-03 07:00:00,HB_BUSAVG,28.54
2010-12-03 07:00:00,HB_HUBAVG,28.5225
2010-12-03 08:00:00,HB_BUSAVG,25.975
2010-12-03 08:00:00,HB_HUBAVG,25.98
2010-12-03 09:00:00,HB_BUSAVG,27.185000000000002
2010-12-03 09:00:00,HB_HUBAVG,27.195
2010-12-03 10:00:00,HB_BUSAVG,29.3925
2010-12-03 10:00:00,HB_HUBAVG,29.3925
2010-12-03 11:00:00,HB_BUSAVG,29.697499999999998
2010-12-03 11:00:00,HB_HUBAVG,29.697499999999998
2010-12-03 12:00:00,HB_BUSAVG,27.8275
2010-12-03 12:00:00,HB_HUBAVG,27.8275
2010-12-03 13:00:00,HB_BUSAVG,24.955
2010-12-03 13:00:00,HB_HUBAVG,25.27
2010-12-03 14:00:00,HB_BUSAVG,23.8975
2010-12-03 14:00:00,HB_HUBAVG,24.1275
2010-12-03 15:00:00,HB_BUSAVG,22.915
2010-12-03 15:00:00,HB_HUBAVG,23.2275
2010-12-03 16:00:00,HB_BUSAVG,24.825
2010-12-03 16:00:00,HB_HUBAVG,24.8275
2010-12-03 17:00:00,HB_BUSAVG,25.555
2010-12-03 17:00:00,HB_HUBAVG,25.29
2010-12-03 18:00:00,HB_BUSAVG,23.95
2010-12-03 18:00:00,HB_HUBAVG,20.3075
2010-12-03 19:00:00,HB_BUSAVG,20.552500000000002
2010-12-03 19:00:00,HB_HUBAVG,17.285
2010-12-03 20:00:00,HB_BUSAVG,18.6025
2010-12-03 20:00:00,HB_HUBAVG,15.61
2010-12-03 21:00:00,HB_BUSAVG,17.705
2010-12-03 21:00:00,HB_HUBAVG,14.8425
2010-12-03 22:00:00,HB_BUSAVG,17.130000000000003
2010-12-03 22:00:00,HB_HUBAVG,14.39
2010-12-03 23:00:00,HB_BUSAVG,14.7375
2010-12-03 23:00:00,HB_HUBAVG,12.2675
2010-12-04 00:00:00,HB_BUSAVG,9.81
2010-12-04 00:00:00,HB_HUBAVG,7.6375
2010-12-04 01:00:00,HB_BUSAVG,1.47
2010-12-04 01:00:00,HB_HUBAVG,0.94
2010-12-04 02:00:00,HB_BUSAVG,-1.955
2010-12-04 02:00:00,HB_HUBAVG,-2.0075000000000003
2010-12-04 03:00:00,HB_BUSAVG,-1.32
2010-12-04 03:00:00,HB_HUBAVG,-1.325
2010-12-04 04:00:00,HB_BUSAVG,4.805
2010-12-04 04:00:00,HB_HUBAVG,4.59
2010-12-04 05:00:00,HB_BUSAVG,19.9225
2010-12-04 05:00:00,HB_HUBAVG,19.9225
2010-12-04 06:00:00,HB_BUSAVG,20.045
2010-12-04 06:00:00,HB_HUBAVG,18.9525
2010-12-04 07:00:00,HB_BUSAVG,18.6725
2010-12-04 07:00:00,HB_HUBAVG,15.657499999999999
2010-12-04 08:00:00,HB_BUSAVG,21.505
2010-12-04 08:00:00,HB_HUBAVG,18.395
2010-12-04 09:00:00,HB_BUSAVG,23.18
2010-12-04 09:00:00,HB_HUBAVG,19.552500000000002
2010-12-04 10:00:00,HB_BUSAVG,24.6
2010-12-04 10:00:00,HB_HUBAVG,20.7625
2010-12-04 11:00:00,HB_BUSAVG,24.884999999999998
2010-12-04 11:00:00,HB_HUBAVG,20.945
2010-12-04 12:00:00,HB_BUSAVG,25.32
2010-12-04 12:00:00,HB_HUBAVG,21.54
2010-12-04 13:00:00,HB_BUSAVG,25.265
2010-12-04 13:00:00,HB_HUBAVG,21.73
2010-12-04 14:00:00,HB_BUSAVG,25.5325
2010-12-04 14:00:00,HB_HUBAVG,24.065
2010-12-04 15:00:00,HB_BUSAVG,27.0975
2010-12-04 15:00:00,HB_HUBAVG,26.7775
2010-12-04 16:00:00,HB_BUSAVG,25.325000000000003
2010-12-04 16:00:00,HB_HUBAVG,25.21
2010-12-04 17:00:00,HB_BUSAVG,40.74
2010-12-04 17:00:00,HB_HUBAVG,40.74
2010-12-04 18:00:00,HB_BUSAVG,36.31
